EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
 2015-1-1,47,37,27,23,16,12,63,45,26,30.26,30.17,30.08,10,10,10,21,8,24,0.00,3,,209
 2015-1-2,49,42,35,29,24,20,64,48,31,30.45,30.30,30.13,10,10,10,12,3,15,0.00,7,,331
 2015-1-3,42,38,34,38,35,25,86,73,59,30.52,30.33,30.12,10,4,0,9,3,10,0.50,8,Fog-Rain,25
 2015-1-4,67,55,42,55,45,31,89,68,46,30.11,29.90,29.73,10,8,2,26,13,39,0.20,8,Rain,219
 2015-1-5,52,41,29,28,12,0,49,35,20,30.48,30.29,30.00,10,10,10,28,14,39,0.00,5,,311
 2015-1-6,32,28,24,20,16,4,81,55,28,30.43,30.30,30.12,10,6,0,14,5,18,0.20,7,Snow,63
 2015-1-7,30,23,15,18,5,-10,68,49,30,30.49,30.21,30.03,10,10,10,30,15,40,T,5,Snow,297
 2015-1-8,26,19,12,2,-4,-8,42,36,29,30.61,30.48,30.22,10,10,10,24,11,31,0.00,3,,258
 2015-1-9,42,34,26,10,7,3,42,34,25,30.32,30.14,30.04,10,10,10,28,12,35,0.00,4,,261
 2015-1-10,30,25,19,6,-1,-5,43,32,21,30.63,30.55,30.35,10,10,10,20,8,25,0.00,0,,321
 2015-1-11,43,32,21,24,14,6,68,48,27,30.69,30.61,30.51,10,10,10,10,5,12,T,7,Rain,166
 2015-1-12,43,39,35,37,33,25,89,74,59,30.50,30.26,30.13,10,4,1,12,4,14,0.75,8,Rain,180
 2015-1-13,42,36,29,36,19,10,73,54,35,30.58,30.48,30.30,10,10,9,22,12,29,T,7,,16
 2015-1-14,33,30,26,22,19,11,75,61,46,30.51,30.35,30.24,10,9,3,13,8,15,T,8,Snow,359
 2015-1-15,42,37,32,27,23,19,75,60,45,30.23,30.14,30.03,10,10,9,12,6,23,0.00,5,,288
 2015-1-16,48,38,27,27,23,17,85,61,36,30.27,30.06,29.97,10,9,7,25,10,33,0.00,2,,271
 2015-1-17,40,34,28,27,16,8,70,55,40,30.44,30.32,30.18,10,10,10,20,9,24,0.00,3,,140
 2015-1-18,45,40,34,39,34,27,89,74,58,30.18,29.90,29.75,10,6,1,22,5,28,0.60,7,Rain,268
 2015-1-19,50,42,33,30,26,21,76,55,34,30.02,29.96,29.88,10,10,10,17,6,46,0.00,6,,274
 2015-1-20,50,41,31,31,28,25,82,62,42,30.07,29.97,29.91,10,10,10,9,2,20,0.00,6,,29
 2015-1-21,39,37,34,32,29,27,89,77,64,30.18,30.13,30.08,10,5,0,13,5,15,0.08,8,Fog-Rain-Snow,57
 2015-1-22,49,43,36,34,29,24,89,64,39,30.40,30.30,30.20,10,7,2,23,8,29,T,6,Rain,266
 2015-1-23,43,37,31,34,29,23,85,67,49,30.40,30.18,29.86,10,7,2,13,5,16,0.65,7,Rain-Snow,156
 2015-1-24,45,41,37,34,32,22,85,64,43,29.86,29.63,29.47,10,6,2,26,10,36,0.48,7,Rain,345
 2015-1-25,52,44,36,32,29,26,64,53,41,29.87,29.83,29.71,10,10,10,15,6,22,0.00,7,,209
 2015-1-26,46,38,29,36,29,23,79,66,53,29.84,29.78,29.71,10,6,2,22,13,26,0.21,8,Rain-Snow,26
