CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2015-1-1,32,25,17,16,11,4,63,54,33,30.19,30.12,30.01,10,10,10,24,15,30,0.00,3,,241
2015-1-2,36,28,20,22,19,15,82,64,39,30.36,30.28,30.14,10,10,10,10,5,16,0.00,5,,193
2015-1-3,37,34,31,36,32,22,100,90,61,30.17,29.91,29.76,10,3,1,12,5,14,0.55,8,Rain-Snow,42
2015-1-4,36,21,5,35,22,-5,97,82,44,30.56,30.01,29.71,10,4,0,24,13,32,0.10,7,Rain-Snow,305
2015-1-5,10,5,-1,5,-3,-10,84,67,45,30.73,30.56,30.37,10,6,0,17,10,22,0.11,5,Snow,252
2015-1-6,12,9,5,5,2,-1,80,70,50,30.46,30.37,30.30,10,7,1,25,13,31,T,6,Snow,295
2015-1-7,8,2,-4,-2,-10,-14,67,53,31,30.86,30.71,30.40,10,10,10,26,16,34,0.00,1,,302
2015-1-8,20,7,-7,14,1,-14,84,73,54,30.71,30.11,29.83,10,4,0,29,17,39,0.05,7,Snow,219
2015-1-9,16,10,3,9,-3,-7,77,62,49,30.51,30.30,29.93,10,8,1,30,16,40,T,4,Snow,278
2015-1-10,26,13,0,13,3,-6,79,63,40,30.52,30.44,30.32,10,10,10,24,13,28,0.00,5,,215
2015-1-11,34,30,25,28,23,14,92,76,43,30.32,30.28,30.24,10,6,0,16,10,16,0.12,8,Snow,206
2015-1-12,30,25,19,29,16,10,96,73,53,30.71,30.50,30.24,10,7,2,24,13,30,0.03,7,Snow,345
2015-1-13,23,18,13,13,9,7,81,68,49,30.78,30.67,30.49,10,10,7,20,8,25,T,5,Snow,83
2015-1-14,21,13,5,12,7,0,84,73,53,30.49,30.38,30.25,10,10,7,14,7,18,0.00,5,,212
2015-1-15,36,27,17,24,19,12,81,71,53,30.24,30.09,30.00,10,10,7,21,11,29,0.00,4,,230
2015-1-16,35,29,22,28,24,19,93,77,56,30.23,30.15,30.03,10,8,4,14,7,19,0.00,4,,157
2015-1-17,44,37,30,34,31,25,79,72,54,29.99,29.74,29.63,10,9,4,25,16,32,0.00,7,,215
2015-1-18,43,37,31,32,30,28,89,74,46,30.03,29.84,29.68,10,10,10,21,11,25,0.00,5,,266
2015-1-19,43,35,27,32,29,25,92,80,63,30.06,30.00,29.89,10,9,2,12,5,14,T,4,Rain-Snow,103
