CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
 2015-1-1,32,28,23,30,24,8,100,82,53,30.44,30.28,30.19,10,4,1,7,4,,0.01,8,,217
 2015-1-2,35,32,30,34,32,29,100,94,89,30.28,30.15,29.99,4,2,2,7,2,,0.19,8,Rain,108
 2015-1-3,39,36,30,39,34,26,100,92,85,30.18,29.92,29.79,10,6,1,13,5,26,0.14,8,Rain-Snow,281
 2015-1-4,28,22,16,24,9,5,82,62,36,30.75,30.53,30.16,10,10,5,20,12,31,0.00,3,Snow,350
 2015-1-5,42,28,14,21,13,8,84,57,32,30.76,30.50,30.25,10,10,10,20,7,29,0.00,0,,158
 2015-1-6,43,34,26,25,19,16,81,60,35,30.58,30.46,30.32,10,10,9,12,4,18,0.00,0,,19
 2015-1-7,27,18,8,18,5,-4,76,53,32,31.02,30.89,30.55,10,10,10,17,9,31,0.00,2,,18
 2015-1-8,36,22,8,11,5,-1,80,50,28,30.85,30.43,30.22,10,10,10,22,8,31,0.00,0,,190
 2015-1-9,32,24,17,16,5,-6,65,44,20,30.69,30.60,30.42,10,10,10,12,6,21,0.00,2,,6
 2015-1-10,37,28,19,18,5,0,52,36,23,30.56,30.38,30.22,10,10,10,16,9,20,0.00,5,,172
 2015-1-11,37,34,32,37,33,20,100,91,56,30.23,30.15,30.05,10,3,0,14,8,21,0.00,8,Fog,175
 2015-1-12,35,30,24,35,26,13,100,81,46,30.61,30.43,30.20,10,5,0,15,6,24,0.00,6,Fog-Rain,7
 2015-1-13,36,26,17,12,10,8,68,51,35,30.61,30.53,30.44,10,10,10,8,5,17,0.00,0,,36
 2015-1-14,36,28,21,20,15,11,78,55,40,30.45,30.38,30.30,10,10,10,6,2,,0.00,7,,177
 2015-1-15,57,41,25,27,24,18,85,57,30,30.33,30.28,30.25,10,9,4,12,5,,0.00,1,,243
 2015-1-16,64,45,26,30,23,18,78,46,17,30.30,30.15,29.95,10,10,10,15,7,24,0.00,0,,191
