CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2015-1-1,47,44,41,46,41,34,100,83,65,30.33,30.20,30.10,10,7,1,15,11,20,0.15,8,Rain,37
2015-1-2,54,51,47,56,52,46,100,97,93,30.13,30.03,29.88,10,3,0,10,6,14,0.63,8,Fog-Rain,30
2015-1-3,53,47,41,55,47,42,100,89,77,30.13,29.98,29.88,10,8,1,18,7,23,0.63,7,Rain-Thunderstorm,292
2015-1-4,56,46,36,43,36,27,100,75,50,30.62,30.40,30.16,10,10,10,23,8,28,0.00,6,,341
2015-1-5,54,43,31,32,28,24,85,60,35,30.69,30.58,30.47,10,10,10,12,9,14,0.00,4,,31
2015-1-6,65,50,34,45,36,29,96,61,26,30.49,30.41,30.35,10,10,10,8,2,9,0.00,4,,207
2015-1-7,62,51,39,48,40,24,100,73,46,30.68,30.49,30.35,10,10,7,26,7,32,0.00,5,,10
2015-1-8,42,35,28,30,19,12,59,45,30,30.69,30.54,30.37,10,10,10,17,10,22,0.01,4,,80
2015-1-9,40,39,37,37,34,30,92,81,70,30.53,30.44,30.35,10,8,2,18,8,23,0.06,8,Rain,31
2015-1-10,41,39,37,37,31,24,92,72,51,30.51,30.42,30.27,10,9,3,14,12,,0.08,8,Rain,47
2015-1-11,49,44,39,49,45,37,100,93,86,30.25,30.18,30.11,10,3,0,16,8,21,0.66,8,Fog-Rain-Thunderstorm,346
2015-1-12,49,46,43,47,44,41,100,90,80,30.35,30.26,30.16,10,6,2,22,9,26,T,8,,345
2015-1-13,46,45,43,43,41,37,96,86,76,30.42,30.36,30.32,10,10,10,17,12,21,0.05,8,Rain,8
2015-1-14,45,42,39,38,36,33,85,72,58,30.37,30.31,30.22,10,10,8,14,9,16,T,8,Rain,11
2015-1-15,54,47,39,38,37,36,92,71,50,30.35,30.29,30.24,10,9,2,12,9,15,T,7,Rain,343
2015-1-16,61,47,33,40,35,31,92,61,29,30.40,30.31,30.24,10,10,10,8,1,10,0.00,6,,175
2015-1-17,69,53,37,48,44,40,100,70,40,30.22,30.15,30.06,10,10,9,14,4,21,0.00,5,Fog,208
2015-1-18,71,57,43,47,37,28,93,55,17,30.37,30.28,30.20,10,10,10,13,5,14,0.00,3,,72
2015-1-19,72,53,34,54,48,38,100,72,44,30.22,30.10,30.00,10,10,9,14,5,16,0.00,2,Fog,176
