EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2015-1-1,39,33,27,17,10,6,46,37,27,30.18,30.07,29.98,10,10,10,17,7,31,0.00,0,,254
2015-1-2,42,39,35,20,17,15,52,43,33,30.46,30.22,30.01,10,10,10,15,7,25,0.00,1,,278
2015-1-3,42,38,33,39,29,16,92,68,44,30.59,30.41,30.09,10,4,0,12,6,18,0.71,6,Rain-Snow,75
2015-1-4,56,49,41,50,43,27,93,88,83,30.09,29.88,29.66,10,6,1,29,6,46,0.30,7,Rain,274
2015-1-5,49,35,21,27,10,-3,49,38,26,30.41,30.13,29.80,10,10,10,24,11,38,0.00,2,,291
2015-1-6,22,21,19,14,9,-3,77,57,36,30.42,30.23,30.02,10,5,0,14,4,24,0.05,5,Snow,276
2015-1-7,23,16,9,11,1,-13,73,49,25,30.27,30.04,29.92,10,10,9,22,13,39,0.00,2,,292
2015-1-8,21,15,8,1,-4,-12,55,48,41,30.43,30.34,30.21,10,10,10,18,9,31,0.00,0,,275
2015-1-9,33,26,19,18,11,1,81,57,33,30.21,30.06,29.99,10,6,0,21,9,30,0.07,4,Snow,259
2015-1-10,23,20,16,1,-1,-4,47,41,34,30.58,30.44,30.23,10,10,10,18,8,25,0.00,0,,277
2015-1-11,37,28,18,14,6,-1,47,38,29,30.68,30.59,30.49,10,10,10,14,6,24,0.00,2,,258
2015-1-12,39,37,35,35,31,13,92,64,35,30.48,30.23,30.11,10,5,1,12,4,20,0.36,8,Rain,284
2015-1-13,36,27,17,31,13,2,82,61,39,30.65,30.50,30.25,10,10,10,18,9,25,0.00,3,,22
2015-1-14,32,24,16,20,12,2,63,56,49,30.58,30.38,30.17,10,10,10,14,6,17,0.00,5,,43
2015-1-15,35,30,25,19,16,13,69,55,41,30.17,30.06,29.91,10,10,9,15,5,20,0.00,3,,304
