EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2015-1-1,42,34,26,19,10,5,50,36,25,30.22,30.13,30.04,10,10,10,20,11,29,0.00,0,,240
2015-1-2,44,36,28,19,17,15,64,45,34,30.46,30.28,30.08,10,10,10,14,7,22,0.00,0,,268
2015-1-3,43,34,25,40,32,18,89,80,54,30.58,30.38,30.07,10,4,1,9,5,,0.81,7,Rain,53
2015-1-4,59,51,43,52,43,32,89,82,48,30.06,29.91,29.70,10,5,0,20,5,31,0.38,7,Fog-Rain,243
2015-1-5,48,36,24,29,10,-2,49,36,25,30.46,30.22,29.90,10,10,10,24,18,37,0.00,2,,295
2015-1-6,23,21,19,16,12,1,80,69,40,30.46,30.27,30.09,10,4,0,7,4,,0.09,6,Snow,242
2015-1-7,25,18,12,13,2,-10,77,48,29,30.36,30.12,29.98,10,9,2,26,11,38,0.00,2,Snow,294
2015-1-8,19,14,9,2,-4,-11,51,41,36,30.51,30.42,30.25,10,10,10,17,11,29,0.00,0,,264
2015-1-9,36,28,21,13,7,2,56,40,33,30.29,30.13,30.04,10,10,5,24,14,38,0.00,4,Snow,257
2015-1-10,23,20,16,3,-2,-6,50,39,28,30.64,30.52,30.31,10,10,10,15,9,22,0.00,0,,279
2015-1-11,39,28,18,19,10,-1,60,44,29,30.72,30.63,30.51,10,10,10,15,4,21,0.00,1,,216
2015-1-12,39,37,35,37,32,18,97,82,45,30.51,30.25,30.14,10,4,1,9,3,,0.60,8,Rain,294
2015-1-13,37,28,19,28,14,1,68,51,37,30.63,30.48,30.26,10,10,10,18,14,30,0.00,3,,13
2015-1-14,32,26,19,18,12,2,61,56,47,30.56,30.38,30.22,10,10,10,15,10,,0.00,7,,25
2015-1-15,37,32,28,22,18,15,67,58,46,30.20,30.12,29.98,10,9,5,10,5,,0.00,6,,297
2015-1-16,44,34,24,21,16,3,69,50,35,30.28,30.00,29.90,10,10,7,23,11,34,0.00,2,,286
2015-1-17,33,24,16,13,3,-5,65,40,19,30.45,30.36,30.25,10,10,10,10,6,21,0.00,0,,38
2015-1-18,43,34,24,41,32,14,96,83,65,30.23,29.90,29.73,10,4,0,10,5,,2.08,7,Fog-Rain,20
2015-1-19,45,40,34,28,25,22,76,56,45,29.95,29.90,29.82,10,10,9,20,10,32,0.00,6,,277
2015-1-20,46,39,32,31,26,23,82,64,46,30.09,29.97,29.92,10,8,4,12,6,,0.03,3,Rain,289
2015-1-21,33,30,27,26,21,11,82,70,46,30.19,30.16,30.09,10,6,1,10,4,,0.04,6,Snow,41
2015-1-22,41,36,30,30,26,20,80,70,57,30.37,30.26,30.18,10,7,2,12,4,,0.00,7,,304
2015-1-23,37,29,21,30,24,16,87,74,62,30.39,30.18,29.97,10,6,1,7,2,,0.10,4,Rain-Snow,169
2015-1-24,39,36,33,32,30,23,87,80,59,29.95,29.60,29.34,10,4,0,15,8,,0.89,7,Fog-Rain-Snow,13
2015-1-25,45,40,34,31,26,19,68,59,50,29.99,29.82,29.61,10,10,9,16,11,24,0.00,5,,293
2015-1-26,30,28,26,23,20,18,75,72,64,29.99,29.87,29.71,10,5,1,22,15,32,0.03,8,Snow,49
2015-1-27,33,27,21,20,15,5,75,61,37,29.93,29.75,29.71,10,5,1,22,15,32,0.06,6,Snow,339
2015-1-28,34,26,19,5,1,-4,52,35,26,30.32,30.14,29.94,10,10,10,20,12,31,0.00,0,,320
2015-1-29,35,26,16,23,8,1,66,44,32,30.36,30.23,29.99,10,10,9,8,4,,0.00,4,,120
2015-1-30,41,31,19,26,21,1,79,61,38,30.13,29.98,29.88,10,8,0,26,10,43,0.01,7,Snow,309
2015-1-31,28,21,14,7,1,-4,47,41,33,30.28,30.22,30.15,10,10,10,20,15,30,0.00,0,,300
2015-2-1,39,31,23,28,19,8,82,56,39,30.27,30.15,29.95,10,8,1,12,6,,0.03,7,Snow,204
2015-2-2,37,29,19,33,27,5,87,78,50,30.04,29.60,29.43,10,5,1,39,10,48,1.17,7,Rain-Snow,23
2015-2-3,28,24,19,9,5,1,52,45,34,30.37,30.28,30.07,10,10,10,18,11,30,0.00,0,,293
2015-2-4,46,35,24,25,20,10,69,52,39,30.35,30.16,29.93,10,10,10,12,3,18,0.00,2,,196
2015-2-5,42,30,16,25,11,-7,69,47,25,30.30,30.07,29.86,10,9,2,28,13,38,0.00,4,Snow,333
2015-2-6,35,24,12,9,0,-5,55,37,23,30.33,30.25,30.15,10,10,10,20,7,24,0.00,2,,278
2015-2-7,46,34,21,18,12,7,69,42,20,30.21,30.11,29.99,10,10,10,12,3,18,0.00,4,,217
2015-2-8,48,40,33,35,29,19,86,68,48,29.97,29.90,29.83,10,6,0,12,6,,0.00,3,Fog,55
2015-2-9,36,32,28,33,26,22,89,81,75,30.04,29.95,29.88,10,6,1,18,13,23,0.00,8,Rain,55
2015-2-10,43,36,28,24,22,20,78,65,47,30.07,30.04,30.00,10,10,5,22,13,26,0.01,5,,23
2015-2-11,37,32,26,21,13,5,67,48,26,30.10,30.03,29.95,10,10,10,17,10,,0.00,1,,53
2015-2-12,41,32,21,28,17,2,73,53,30,30.00,29.85,29.76,10,9,6,22,7,36,0.00,6,,276
2015-2-13,23,16,9,1,-7,-10,50,35,23,30.26,30.19,30.05,10,10,10,25,16,34,0.00,0,,312
2015-2-14,32,24,15,25,17,2,82,66,42,30.15,29.68,29.50,10,5,0,25,6,40,0.08,7,Snow,225
2015-2-15,21,15,7,11,-4,-15,74,47,33,30.24,29.88,29.59,10,7,1,30,23,43,0.00,4,Snow,309
2015-2-16,17,10,3,4,-8,-15,61,42,36,30.32,30.23,30.09,10,9,2,21,13,30,0.00,2,Snow,296
2015-2-17,28,21,14,12,8,6,77,65,46,30.08,29.96,29.89,10,5,0,10,6,,0.25,5,Snow,3
2015-2-18,32,22,12,11,4,0,67,45,27,29.99,29.86,29.75,10,10,9,20,5,26,0.00,1,,267
2015-2-19,21,16,8,1,-6,-14,49,38,30,30.12,29.94,29.83,10,10,10,26,17,36,0.00,2,,291
2015-2-20,18,10,1,-7,-12,-17,48,37,31,30.54,30.36,30.15,10,10,10,20,13,31,0.00,0,,284
2015-2-21,34,20,5,29,15,-6,82,71,37,30.55,30.34,30.18,10,4,0,13,4,24,0.63,5,Rain-Snow,192
2015-2-22,45,40,34,31,30,26,89,77,53,30.26,30.18,30.13,10,4,2,9,3,,0.13,6,Rain,314
2015-2-23,37,24,12,22,4,-11,57,40,26,30.43,30.33,30.23,10,10,9,24,13,34,0.00,2,,336
2015-2-24,27,16,5,6,-6,-11,60,38,22,30.42,30.20,29.87,10,10,10,9,5,,0.00,0,,131
2015-2-25,37,26,14,19,12,5,74,52,37,30.01,29.91,29.79,10,10,10,20,5,25,0.00,0,,278
2015-2-26,30,28,24,19,12,6,67,51,40,30.17,30.02,29.92,10,10,9,18,10,,0.00,5,,27
2015-2-27,30,26,21,13,7,2,63,47,33,30.65,30.43,30.19,10,10,3,13,7,20,0.00,3,Snow,343
2015-2-28,30,22,15,6,-1,-4,55,37,23,30.87,30.79,30.67,10,10,10,10,6,,0.00,0,,343
2015-3-1,33,26,19,28,19,5,86,71,34,30.75,30.49,30.18,10,5,1,10,3,,0.29,7,Rain-Snow,164
2015-3-2,39,34,28,29,20,10,85,58,32,30.41,30.22,30.07,10,8,4,17,8,32,0.00,3,,290
2015-3-3,35,30,24,30,19,7,85,64,35,30.48,30.24,29.88,10,6,1,12,7,16,0.38,6,Rain-Snow,165
2015-3-4,46,40,35,40,36,31,87,83,73,29.96,29.90,29.80,6,3,0,10,6,,0.51,8,Fog-Rain,243
2015-3-5,41,31,19,29,19,7,96,81,57,30.43,30.16,29.95,10,2,0,17,9,25,0.58,8,Fog-Rain-Snow,344
2015-3-6,27,18,8,14,8,0,74,61,51,30.61,30.50,30.41,10,10,10,16,8,22,0.00,0,,326
2015-3-7,39,26,12,22,12,5,74,50,33,30.39,30.24,30.09,10,10,7,16,7,23,0.00,2,,235
2015-3-8,48,38,27,26,23,20,81,53,33,30.19,30.12,30.06,10,10,8,20,6,28,0.00,2,Rain,267
2015-3-9,57,44,33,32,28,24,70,54,32,30.29,30.21,30.16,10,10,8,16,3,23,0.00,3,,291
2015-3-10,59,46,34,48,40,26,89,73,42,30.32,30.18,30.01,10,6,1,10,2,,0.54,5,Rain,148
2015-3-11,60,53,46,47,42,32,90,71,44,30.17,30.02,29.95,10,7,0,14,6,18,0.09,4,Fog-Rain,278
2015-3-12,50,42,35,31,12,2,54,28,15,30.63,30.44,30.17,10,10,10,21,12,34,0.00,0,,340
2015-3-13,48,38,28,28,9,-1,58,30,21,30.68,30.56,30.40,10,10,10,8,5,,0.00,1,,108
2015-3-14,53,46,39,48,41,31,89,84,70,30.37,30.00,29.76,9,3,1,10,3,,0.80,8,Rain,338
2015-3-15,46,42,39,40,28,25,77,55,47,30.06,29.90,29.79,10,10,8,24,15,34,0.00,7,,305
2015-3-16,55,45,35,34,27,23,67,50,37,30.09,29.98,29.84,10,10,10,8,5,,0.00,1,,251
2015-3-17,64,50,37,42,29,6,63,44,24,30.01,29.74,29.61,10,10,9,26,9,41,0.00,2,,292
2015-3-18,45,38,32,10,5,0,40,27,16,30.21,30.10,30.01,10,10,10,23,15,36,0.00,0,,319
2015-3-19,45,34,24,16,7,1,58,34,17,30.39,30.33,30.23,10,10,10,15,4,21,0.00,0,,342
