MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2015-1-1,46,41,35,33,29,26,89,69,49,30.16,30.09,30.01,10,10,10,9,4,11,0.00,4,,312
2015-1-2,54,43,31,29,26,21,85,57,28,30.12,30.05,29.99,10,10,10,10,5,13,0.00,0,,213
2015-1-3,54,44,34,31,28,25,82,57,32,30.32,30.22,30.12,10,10,10,9,4,11,0.00,0,,117
2015-1-4,65,50,35,36,31,29,76,51,26,30.41,30.32,30.28,10,10,10,8,3,12,0.00,2,,111
2015-1-5,74,57,40,36,32,24,76,46,16,30.35,30.25,30.17,10,10,10,14,3,18,0.00,2,,67
2015-1-6,79,62,44,37,32,25,60,38,15,30.29,30.20,30.12,10,10,10,13,4,16,0.00,1,,86
2015-1-7,81,64,47,39,36,32,66,42,17,30.17,30.10,30.04,10,10,10,10,4,13,0.00,4,,117
2015-1-8,71,63,54,40,36,33,55,41,26,30.10,30.03,29.98,10,10,10,20,9,23,0.00,5,,105
2015-1-9,75,63,51,44,39,36,59,46,33,30.05,29.99,29.94,10,10,10,17,7,20,0.00,1,,101
2015-1-10,65,60,54,46,40,37,62,51,39,30.06,30.01,29.98,10,10,10,12,5,14,T,6,Rain,108
2015-1-11,72,63,54,54,46,43,78,57,35,30.08,30.03,29.98,10,10,10,13,6,20,0.01,6,Rain,94
2015-1-12,67,62,56,56,54,51,93,76,58,30.13,30.06,30.01,10,9,7,10,3,13,0.02,6,Rain,236
2015-1-13,63,57,51,52,49,45,93,77,60,30.06,30.01,29.96,10,9,6,23,4,26,0.11,5,Rain,97
2015-1-14,67,57,46,46,43,38,93,64,34,30.21,30.10,30.03,10,10,10,10,3,12,0.00,1,,79
2015-1-15,72,60,47,41,36,31,77,50,22,30.30,30.21,30.15,10,10,10,16,6,20,0.00,0,,72
2015-1-16,74,62,49,38,33,26,59,38,17,30.21,30.14,30.06,10,10,10,15,5,18,0.00,1,,96
2015-1-17,73,60,47,37,33,28,61,41,20,30.22,30.16,30.10,10,10,10,13,5,16,0.00,1,,111
2015-1-18,75,62,48,41,37,33,61,41,21,30.25,30.17,30.10,10,10,10,9,3,11,0.00,3,,83
2015-1-19,75,63,50,42,38,34,66,44,21,30.14,30.06,29.98,10,10,10,10,4,13,0.00,3,,130
2015-1-20,75,62,48,42,39,33,71,47,23,30.03,29.93,29.83,10,10,10,9,3,11,0.00,4,,102
2015-1-21,74,64,53,42,37,31,61,44,27,30.00,29.86,29.79,10,10,10,21,6,25,0.00,4,,355
2015-1-22,65,57,48,34,15,5,56,33,9,30.30,30.18,30.01,10,10,10,23,10,29,0.00,0,,36
2015-1-23,64,54,43,24,20,15,41,29,17,30.32,30.22,30.12,10,10,10,10,5,14,0.00,4,,92
2015-1-24,77,64,50,25,18,11,35,22,8,30.13,30.06,29.98,10,10,10,24,9,28,0.00,2,,72
2015-1-25,78,63,48,32,25,20,41,27,13,30.09,30.04,29.98,10,10,10,16,4,19,0.00,4,,109
2015-1-26,71,62,53,49,33,25,60,39,18,30.15,30.09,30.04,10,10,10,12,3,15,0.01,7,Rain,144
2015-1-27,74,64,53,52,50,47,89,64,38,30.23,30.15,30.10,10,10,10,10,3,13,0.00,5,,203
2015-1-28,75,64,52,52,50,46,89,64,38,30.15,30.08,30.01,10,10,10,12,5,23,0.00,5,,271
2015-1-29,71,65,58,58,51,43,90,64,38,30.05,30.01,29.96,10,9,5,12,3,13,0.24,8,Rain,121
2015-1-30,60,58,55,57,55,53,93,90,86,29.96,29.86,29.80,10,6,1,15,8,18,0.35,8,Rain,88
2015-1-31,60,57,53,55,53,52,93,84,75,29.94,29.83,29.77,10,10,7,12,3,14,0.07,7,Rain,122
2015-2-1,69,60,50,54,51,45,100,71,42,30.12,30.04,29.95,10,5,0,10,3,12,0.00,4,Fog,72
2015-2-2,73,61,48,50,43,34,96,61,25,30.12,30.04,29.95,10,10,9,9,4,13,0.00,2,,102
2015-2-3,76,63,50,51,46,42,83,57,31,30.07,30.01,29.96,10,10,10,10,5,13,0.00,3,,108
2015-2-4,77,65,52,50,47,44,83,58,33,30.12,30.05,30.01,10,10,10,10,5,14,0.00,1,,103
2015-2-5,82,67,52,48,44,35,83,51,18,30.12,30.05,29.96,10,10,10,12,4,16,0.00,1,,107
2015-2-6,84,69,54,49,41,35,64,41,18,30.12,30.06,30.01,10,10,10,13,4,17,0.00,1,,117
2015-2-7,81,67,53,47,43,37,67,44,21,30.11,30.05,29.98,10,10,10,8,4,11,0.00,0,,121
2015-2-8,82,69,55,45,40,31,66,41,16,30.12,30.04,29.97,10,10,9,9,4,14,0.00,0,,108
2015-2-9,83,69,55,48,44,41,72,48,23,30.07,29.99,29.90,10,10,10,13,5,16,0.00,0,,114
2015-2-10,83,70,57,48,41,32,67,42,17,29.95,29.89,29.82,10,10,10,15,6,21,0.00,0,,127
2015-2-11,81,68,54,44,32,18,66,38,9,30.08,29.98,29.89,10,10,10,20,6,24,0.00,1,,46
2015-2-12,78,68,58,37,31,27,39,28,16,30.22,30.12,30.05,10,10,10,20,8,24,0.00,1,,102
2015-2-13,80,68,55,39,34,30,47,32,17,30.14,30.06,30.01,10,10,10,15,5,18,0.00,1,,104
2015-2-14,83,69,54,46,39,36,59,39,18,30.08,29.99,29.91,10,10,10,9,3,12,0.00,4,,124
2015-2-15,79,71,63,52,48,43,60,45,30,29.98,29.92,29.84,10,10,10,15,6,20,0.00,5,,91
2015-2-16,79,67,55,51,47,43,77,53,29,29.97,29.89,29.82,10,10,10,18,6,23,0.00,1,,164
2015-2-17,77,66,55,51,25,11,65,37,8,30.12,30.03,29.91,10,10,10,16,6,20,0.00,0,,77
2015-2-18,79,65,50,32,25,16,41,26,10,30.16,30.07,29.99,10,10,10,13,6,16,0.00,2,,97
2015-2-19,80,66,52,35,31,22,50,31,12,30.09,29.99,29.91,10,10,10,9,5,13,0.00,5,,110
2015-2-20,79,67,55,38,33,30,47,32,17,29.94,29.88,29.81,10,10,10,13,4,15,0.00,6,,110
