CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2015-1-1,42,39,36,39,36,29,93,82,70,30.31,30.20,30.09,10,4,0,14,7,17,0.07,8,Fog-Rain,20
2015-1-2,44,42,40,41,40,38,96,91,86,30.14,30.03,29.93,10,4,1,18,7,24,0.31,8,Rain-Thunderstorm,5
2015-1-3,65,53,41,44,40,38,93,69,44,30.10,29.98,29.91,10,9,2,13,6,14,0.42,5,Rain-Thunderstorm,275
2015-1-4,57,47,36,38,32,25,93,66,38,30.61,30.41,30.12,10,10,10,20,9,26,0.00,3,,8
2015-1-5,53,42,30,30,23,21,69,49,29,30.66,30.54,30.43,10,10,10,13,5,16,0.00,5,,73
2015-1-6,67,52,36,37,32,28,76,53,29,30.42,30.35,30.28,10,10,10,12,5,17,0.00,2,,229
2015-1-7,55,45,34,39,30,9,76,54,32,30.72,30.51,30.29,10,10,10,29,13,37,0.00,4,,360
2015-1-8,41,35,28,21,13,6,48,41,33,30.72,30.48,30.28,10,10,10,18,8,24,0.00,7,,149
2015-1-9,42,38,34,36,29,21,92,68,43,30.51,30.40,30.27,10,9,1,20,10,26,0.05,8,Rain,24
2015-1-10,40,37,33,34,31,27,92,84,75,30.49,30.38,30.25,10,5,1,13,7,16,0.36,8,Rain,28
2015-1-11,53,45,36,44,40,35,100,89,77,30.26,30.16,30.07,10,8,2,12,5,16,T,7,Rain,244
2015-1-12,58,48,37,45,39,35,96,79,62,30.40,30.25,30.13,10,10,7,21,9,29,0.00,6,,5
2015-1-13,44,41,38,37,34,32,82,74,65,30.45,30.37,30.31,10,10,10,21,10,26,T,8,Rain,10
2015-1-14,41,40,39,39,37,34,92,86,79,30.36,30.30,30.23,10,5,1,10,7,13,T,8,Rain,15
2015-1-15,60,50,40,39,37,35,86,65,44,30.36,30.30,30.26,10,10,8,15,7,20,T,6,,329
2015-1-16,64,50,36,40,36,33,92,64,36,30.35,30.26,30.16,10,10,10,13,5,16,0.00,5,,244
2015-1-17,71,55,39,44,40,30,86,58,30,30.22,30.11,30.01,10,10,10,17,7,22,0.00,5,,265
2015-1-18,69,56,42,33,29,22,60,39,17,30.37,30.25,30.17,10,10,10,14,5,19,0.00,3,,296
2015-1-19,73,55,37,48,41,31,82,58,33,30.17,30.03,29.91,10,10,10,15,6,21,0.00,2,,267
2015-1-20,82,62,42,51,45,38,89,60,30,30.00,29.90,29.82,10,10,10,16,6,19,0.00,0,,266
2015-1-21,61,56,51,57,52,46,100,86,72,30.09,30.00,29.94,10,7,0,14,8,19,0.22,7,Rain,45
2015-1-22,59,51,43,58,47,37,93,88,82,30.20,30.02,29.89,10,6,1,25,15,37,1.85,8,Rain,13
2015-1-23,48,43,37,39,37,34,92,77,61,30.29,30.24,30.17,10,9,2,18,10,25,0.10,7,Rain,328
2015-1-24,64,49,33,40,34,31,96,63,30,30.27,30.18,30.07,10,10,9,12,5,14,0.00,4,,253
2015-1-25,73,55,37,40,36,29,86,53,20,30.20,30.10,30.01,10,10,10,17,6,22,0.00,4,,326
2015-1-26,73,56,39,39,36,33,79,52,25,30.27,30.20,30.15,10,10,10,12,7,14,0.00,4,,276
2015-1-27,82,62,42,42,38,33,76,47,18,30.19,30.13,30.08,10,10,10,10,5,16,0.00,2,,280
2015-1-28,80,62,44,54,41,37,76,50,23,30.16,30.10,30.04,10,10,10,17,9,21,0.00,2,,210
2015-1-29,75,63,51,58,53,39,100,70,40,30.32,30.19,30.10,10,8,0,15,6,21,0.00,6,Fog,184
2015-1-30,61,56,51,40,37,33,59,51,43,30.39,30.30,30.22,10,10,10,18,11,24,0.00,7,,54
2015-1-31,63,57,51,61,53,40,100,80,59,30.21,30.01,29.87,10,6,0,15,6,18,0.29,8,Fog-Rain,107
2015-2-1,77,63,48,61,55,31,100,73,46,30.19,29.94,29.86,10,7,0,26,10,36,0.00,7,Fog,174
2015-2-2,52,45,38,31,25,21,54,43,32,30.38,30.29,30.21,10,10,10,22,9,31,0.00,6,,40
2015-2-3,45,43,41,42,37,28,96,75,53,30.32,30.24,30.17,10,7,3,9,4,10,0.28,8,Rain,119
2015-2-4,53,49,44,48,45,42,93,85,77,30.17,30.10,30.01,10,6,2,10,4,14,0.02,8,Rain,202
2015-2-5,53,48,42,48,38,34,89,77,65,30.40,30.33,30.19,10,10,6,21,10,27,T,8,,4
2015-2-6,56,50,43,43,39,34,80,71,61,30.40,30.32,30.22,10,10,10,12,4,16,0.00,7,,207
2015-2-7,68,59,49,56,49,43,83,68,53,30.21,30.07,29.96,10,10,10,18,9,24,0.00,5,,208
2015-2-8,74,63,52,57,55,47,93,73,53,29.99,29.90,29.80,10,7,0,16,9,20,T,5,Fog-Rain,232
2015-2-9,84,67,50,48,45,38,77,48,19,30.13,30.04,29.97,10,10,10,14,4,19,0.00,0,,327
2015-2-10,80,63,46,49,45,41,86,56,26,30.03,29.96,29.88,10,10,10,15,7,23,0.00,0,,194
2015-2-11,76,62,47,53,49,44,86,60,33,30.14,29.99,29.92,10,10,10,20,6,26,0.00,1,,119
2015-2-12,65,57,48,52,38,35,75,56,37,30.35,30.28,30.17,10,10,10,21,11,32,0.00,4,,25
2015-2-13,69,58,47,46,38,32,61,49,37,30.34,30.27,30.20,10,10,10,13,4,17,0.00,4,,213
2015-2-14,74,61,48,55,52,46,93,71,49,30.25,30.20,30.14,10,9,6,13,6,16,0.00,5,,235
2015-2-15,70,66,61,62,58,53,90,78,66,30.13,30.00,29.87,10,9,5,17,8,22,0.06,8,Rain,173
2015-2-16,65,53,40,62,46,30,87,69,50,30.15,29.95,29.81,10,9,2,30,12,37,0.02,8,Rain,341
2015-2-17,56,46,36,32,28,24,70,51,32,30.31,30.20,30.10,10,10,10,23,9,29,T,5,,11
2015-2-18,64,48,32,34,29,27,82,55,27,30.34,30.28,30.20,10,10,10,17,7,23,0.00,0,,209
2015-2-19,70,54,38,50,42,33,85,63,40,30.32,30.20,30.06,10,10,10,23,10,30,0.00,1,,190
2015-2-20,79,69,58,61,57,50,87,68,48,30.03,29.88,29.74,10,10,10,22,14,28,0.00,6,,174
2015-2-21,79,71,62,60,58,50,87,68,48,29.93,29.85,29.78,10,10,7,16,9,21,0.00,6,,170
2015-2-22,66,53,40,58,48,36,87,76,64,30.27,30.05,29.91,10,8,3,28,11,37,T,8,Rain,29
2015-2-23,41,37,32,34,28,26,82,76,70,30.46,30.38,30.29,10,10,7,24,14,32,T,8,Rain,4
2015-2-24,42,37,32,33,29,27,85,74,62,30.35,30.19,29.98,10,9,4,12,7,14,T,8,Rain,24
2015-2-25,67,52,36,37,33,26,92,57,22,30.00,29.90,29.78,10,8,2,20,7,26,0.01,5,Rain,323
2015-2-26,62,49,36,39,33,25,82,62,42,30.31,30.11,29.87,10,10,10,23,10,29,0.00,3,,25
2015-2-27,38,36,33,31,27,21,89,71,52,30.35,30.30,30.25,10,7,1,18,11,26,0.02,8,Rain,35
