CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2015-1-1,32,28,24,30,23,10,100,81,54,30.43,30.27,30.19,9,4,1,12,5,,0.00,8,Rain,217
2015-1-2,36,33,30,34,31,28,96,91,81,30.28,30.15,29.95,5,3,1,8,3,,0.18,8,Rain,8
2015-1-3,41,38,30,39,35,27,96,91,83,30.17,29.92,29.79,10,5,1,24,6,33,0.08,8,Rain-Snow,273
2015-1-4,30,24,17,25,10,5,86,64,38,30.74,30.50,30.16,10,9,3,31,21,40,0.00,3,Rain-Snow,347
2015-1-5,43,30,17,23,14,9,71,54,33,30.74,30.49,30.23,10,10,10,22,9,31,0.00,0,,156
2015-1-6,44,36,27,25,21,17,81,61,35,30.54,30.44,30.30,10,10,10,20,7,22,0.00,0,,9
2015-1-7,27,20,12,18,5,-4,71,52,32,30.99,30.86,30.53,10,10,9,31,17,39,0.00,2,,12
2015-1-8,36,24,12,12,6,0,61,49,31,30.84,30.43,30.22,10,10,10,28,10,36,0.00,0,,189
2015-1-9,32,26,21,18,6,-4,69,45,21,30.67,30.58,30.40,10,10,10,21,11,32,0.00,1,,8
2015-1-10,37,29,21,19,6,1,54,37,24,30.55,30.38,30.22,10,10,10,20,11,25,0.00,5,,172
2015-1-11,37,34,32,36,32,21,97,90,61,30.23,30.15,30.07,10,2,0,18,12,,0.00,8,Fog,171
2015-1-12,36,31,25,36,24,15,100,78,56,30.60,30.44,30.22,10,6,0,24,13,32,0.00,6,Fog-Rain,1
2015-1-13,35,27,19,14,12,9,65,53,40,30.59,30.52,30.43,10,10,10,13,9,,0.00,1,,14
2015-1-14,37,30,24,20,15,10,71,50,35,30.45,30.37,30.30,10,10,9,6,2,,0.00,7,,3
2015-1-15,57,42,28,28,24,20,88,56,27,30.33,30.29,30.24,10,9,4,12,5,17,0.00,1,,266
2015-1-16,63,44,24,30,24,19,85,48,20,30.29,30.15,29.97,10,10,1,18,7,23,0.00,0,,199
2015-1-17,64,50,37,35,29,22,73,48,24,30.25,30.02,29.81,10,10,10,23,13,34,0.00,0,,288
2015-1-18,71,50,28,25,22,19,75,37,14,30.24,30.11,29.99,10,10,10,25,10,34,0.00,0,,217
2015-1-19,72,54,36,26,23,15,62,35,11,30.03,29.98,29.91,10,10,7,7,3,,0.00,0,,355
2015-1-20,59,47,35,38,33,27,89,58,32,30.22,30.08,29.96,10,10,10,21,9,28,0.00,1,,21
2015-1-21,46,38,30,36,32,28,93,78,52,30.35,30.25,30.20,10,7,1,21,4,33,0.22,4,Rain,16
2015-1-22,48,40,32,36,32,26,93,74,46,30.44,30.38,30.32,10,8,4,15,11,,0.44,7,Rain,25
2015-1-23,50,38,26,29,26,23,88,67,36,30.36,30.23,30.11,10,8,4,15,6,21,0.00,1,,268
2015-1-24,62,48,33,35,30,25,78,55,30,30.16,30.05,29.90,10,10,10,14,9,21,0.00,0,,268
2015-1-25,59,46,34,36,29,25,75,47,27,30.19,30.03,29.89,10,10,10,30,14,39,0.00,0,,326
2015-1-26,75,52,28,36,31,25,89,54,21,30.21,30.11,30.03,10,10,10,15,5,,0.00,0,,256
2015-1-27,75,57,39,41,36,32,77,50,23,30.19,30.09,30.02,10,10,4,13,4,,0.00,0,,209
2015-1-28,75,64,52,45,40,34,59,44,29,30.02,29.94,29.84,10,10,10,18,12,25,0.00,0,,213
2015-1-29,62,50,37,35,31,28,70,52,35,30.55,30.36,30.04,10,10,8,26,14,39,0.00,0,,360
2015-1-30,46,40,35,28,26,24,73,56,41,30.56,30.46,30.29,10,10,8,10,7,,0.00,3,,66
2015-1-31,45,43,41,43,37,27,96,81,49,30.26,30.05,29.86,10,5,2,18,11,29,0.43,8,Rain,171
2015-2-1,46,34,21,45,32,10,93,76,53,30.40,30.00,29.80,10,7,2,30,16,41,0.01,5,Rain,307
2015-2-2,37,26,15,21,14,8,74,61,43,30.44,30.35,30.23,10,10,9,14,10,23,0.00,0,,238
2015-2-3,57,44,30,32,26,20,72,54,36,30.25,30.14,30.05,10,10,8,21,14,28,0.00,0,,190
2015-2-4,48,37,26,41,30,16,93,78,66,30.47,30.17,29.96,10,7,2,28,16,38,0.00,6,Rain,347
2015-2-5,41,30,18,24,15,7,78,60,27,30.53,30.44,30.35,10,9,8,21,13,26,0.00,2,,27
2015-2-6,63,46,30,38,31,23,79,60,34,30.33,30.16,29.98,10,9,7,29,18,37,0.00,0,,190
2015-2-7,71,57,43,46,42,39,86,61,35,29.95,29.81,29.72,10,10,7,28,20,34,0.00,0,,187
2015-2-8,79,58,37,46,39,33,97,66,20,30.05,29.87,29.70,10,7,0,18,7,26,0.00,0,Fog,342
2015-2-9,69,54,39,41,37,33,77,55,33,30.21,30.11,30.04,10,10,5,14,6,,0.00,0,,59
2015-2-10,70,56,42,42,39,35,76,60,35,30.03,29.95,29.85,10,8,3,23,11,36,0.00,0,,136
2015-2-11,50,44,36,40,32,23,89,68,53,30.44,30.24,29.98,10,8,3,24,12,32,0.00,3,,10
2015-2-12,46,34,23,23,20,18,85,56,34,30.58,30.46,30.32,10,10,7,14,7,,0.00,0,,25
2015-2-13,66,51,35,30,27,18,76,46,26,30.31,30.22,30.16,10,10,10,20,13,24,0.00,0,,239
2015-2-14,79,56,32,38,32,28,85,50,20,30.25,30.15,30.04,10,10,9,20,8,26,0.00,0,,210
2015-2-15,39,33,26,27,21,13,93,68,41,30.16,30.11,30.03,10,6,0,21,13,30,0.27,5,Fog-Rain-Snow-Thunderstorm,15
2015-2-16,36,28,19,23,20,16,93,80,50,30.24,30.15,30.10,10,6,1,23,17,30,0.01,6,Rain-Snow,1
2015-2-17,50,37,24,30,23,18,85,63,32,30.27,30.20,30.11,10,10,7,20,7,28,0.00,1,,279
2015-2-18,42,33,24,22,17,11,78,55,35,30.41,30.34,30.23,10,10,10,14,7,22,0.00,3,,12
2015-2-19,53,38,24,23,16,10,58,42,26,30.41,30.24,30.01,10,10,10,22,9,30,0.00,0,,136
2015-2-20,50,44,37,46,39,22,100,82,53,29.99,29.80,29.68,10,5,0,24,15,32,0.00,6,Fog-Rain,133
2015-2-21,57,47,37,39,36,33,100,78,40,30.14,29.94,29.76,10,6,0,17,12,29,0.00,5,Fog,30
2015-2-22,45,33,21,36,22,12,86,75,60,30.65,30.41,30.14,10,8,2,28,18,37,0.00,8,Rain-Snow,25
2015-2-23,24,20,17,16,14,8,86,79,55,30.72,30.60,30.45,10,3,0,23,13,30,0.05,8,Fog-Snow,11
2015-2-24,41,30,18,25,19,13,86,70,51,30.44,30.19,30.00,10,8,6,10,6,,0.00,2,,233
2015-2-25,57,42,26,35,28,21,88,65,34,30.04,29.88,29.76,10,8,4,25,6,34,0.00,1,,252
2015-2-26,30,24,19,23,9,1,72,51,30,30.53,30.37,30.08,10,10,10,28,22,36,0.00,3,,8
2015-2-27,21,19,17,13,9,1,81,66,40,30.62,30.52,30.45,10,6,0,20,11,16,0.00,8,Snow,67
2015-2-28,27,23,19,25,18,13,93,86,77,30.49,30.40,30.31,7,2,0,8,5,,0.05,8,Fog-Rain-Snow,83
2015-3-1,34,30,26,28,26,22,100,87,73,30.51,30.39,30.32,8,4,1,14,4,,0.00,7,,8
2015-3-2,37,30,24,36,29,21,93,83,70,30.49,30.27,30.03,7,5,2,18,8,23,0.00,7,,142
2015-3-3,55,46,37,44,39,35,93,79,62,30.02,29.90,29.81,9,7,4,23,17,31,0.00,5,,220
2015-3-4,43,33,19,34,21,17,93,80,67,30.49,30.23,29.92,10,4,0,26,19,39,0.05,8,Fog-Rain-Snow,15
2015-3-5,42,25,8,19,14,4,95,62,36,30.63,30.56,30.49,10,9,5,13,5,,0.00,0,,219
2015-3-6,55,42,28,29,24,18,67,52,32,30.52,30.44,30.36,10,10,10,17,14,23,0.00,0,,202
2015-3-7,66,50,35,35,29,26,70,47,23,30.39,30.30,30.19,10,10,10,15,12,,0.00,0,,201
2015-3-8,64,54,45,44,37,34,83,53,32,30.17,30.09,30.01,10,10,8,17,10,20,0.00,2,,174
2015-3-9,50,49,46,48,46,44,97,91,83,30.09,30.04,29.98,8,5,2,10,6,,0.38,7,Rain,95
2015-3-10,66,56,44,46,45,40,100,82,40,30.14,30.02,29.96,10,5,0,9,4,,0.01,5,Fog-Rain,354
2015-3-11,75,57,41,50,41,34,100,69,23,30.28,30.22,30.14,10,6,0,9,4,,0.00,0,Fog,202
2015-3-12,73,58,43,45,40,35,82,53,25,30.26,30.17,30.06,10,10,8,12,5,17,0.00,0,,78
2015-3-13,60,53,46,52,47,43,90,81,67,30.09,30.06,30.02,10,8,4,15,6,22,0.23,4,Rain,2
2015-3-14,69,60,52,49,41,33,89,58,28,30.26,30.17,30.06,10,10,7,17,10,26,0.00,0,,358
2015-3-15,73,54,37,50,43,33,89,65,44,30.35,30.28,30.22,10,10,7,10,4,,0.00,0,,181
2015-3-16,79,64,51,52,46,41,89,58,27,30.23,30.10,29.97,10,10,6,22,12,28,0.00,0,,203
2015-3-17,68,61,54,47,42,40,62,53,43,30.23,30.12,29.97,10,10,7,22,14,32,0.00,0,,347
2015-3-18,61,53,46,50,46,42,90,79,64,30.13,30.04,29.94,10,8,6,9,6,,0.02,7,,25
2015-3-19,53,50,48,52,49,46,100,94,86,30.14,30.02,29.98,8,3,0,14,7,,0.57,8,Fog-Rain-Thunderstorm,53
2015-3-20,59,50,42,46,43,40,100,84,51,30.25,30.19,30.14,10,6,2,15,8,,0.10,3,Rain,6
2015-3-21,66,54,43,51,47,41,93,77,58,30.19,30.12,30.05,10,8,3,10,2,,0.00,1,,148
2015-3-22,73,61,50,53,51,47,90,74,49,30.04,30.00,29.95,10,9,7,12,7,20,0.00,3,,208
2015-3-23,78,64,50,54,51,46,90,65,40,30.11,29.99,29.85,10,10,10,22,12,31,0.00,0,,171
2015-3-24,79,67,55,57,50,41,80,55,30,29.89,29.82,29.76,10,10,10,25,18,33,0.00,0,,225
2015-3-25,84,65,46,61,54,40,94,71,42,30.02,29.80,29.61,10,7,1,43,13,60,0.61,4,Rain-Thunderstorm,87
2015-3-26,61,50,39,40,34,29,82,61,31,30.26,30.15,30.07,10,10,8,30,20,37,0.00,2,,355
2015-3-27,57,50,44,38,36,34,76,61,44,30.27,30.17,30.07,10,10,8,22,11,28,0.00,3,,335
2015-3-28,77,62,46,46,42,37,74,53,32,30.09,30.01,29.94,10,10,9,20,12,26,0.00,0,,175
2015-3-29,75,62,50,51,44,37,80,52,27,30.16,29.99,29.88,10,10,10,24,16,32,0.00,0,,107
2015-3-30,79,60,42,53,42,35,79,51,25,30.22,30.11,29.98,10,10,8,13,6,,0.00,0,,155
2015-3-31,84,72,59,63,57,45,96,70,25,29.99,29.91,29.81,10,6,0,34,10,68,0.58,2,Fog-Rain-Thunderstorm,165
2015-4-1,81,69,57,63,58,52,88,69,47,30.00,29.81,29.67,10,9,1,23,17,54,0.36,0,Rain-Thunderstorm,175
2015-4-2,84,73,64,66,59,55,81,63,44,29.77,29.69,29.62,10,9,7,29,18,41,0.00,0,,198
2015-4-3,73,60,44,66,41,27,87,55,29,30.39,30.06,29.62,10,9,7,30,21,43,0.00,3,Rain,360
2015-4-4,64,52,39,30,26,20,65,40,19,30.45,30.32,30.13,10,10,9,13,7,17,0.00,0,,122
2015-4-5,55,52,50,54,47,32,96,81,40,30.12,29.96,29.83,10,7,2,22,14,31,0.03,8,Rain-Thunderstorm,166
2015-4-6,82,68,55,66,60,53,100,82,52,29.86,29.79,29.70,10,6,2,24,18,33,0.00,5,,185
2015-4-7,86,75,66,67,64,62,87,70,49,29.82,29.79,29.74,9,8,6,25,18,31,0.00,0,Rain,189
2015-4-8,78,73,69,66,64,62,84,75,65,29.80,29.73,29.62,10,8,5,33,20,47,0.00,2,Rain-Thunderstorm,185
2015-4-9,73,64,51,65,54,36,84,64,30,30.16,29.78,29.61,10,8,5,41,25,53,0.00,3,,254
2015-4-10,71,53,37,39,36,33,86,52,30,30.26,30.18,30.09,10,10,10,14,7,,0.00,0,,44
2015-4-11,73,64,55,49,42,35,80,51,25,30.21,30.07,29.93,10,10,5,18,9,26,0.08,6,Rain-Thunderstorm,135
2015-4-12,79,71,63,63,58,44,81,65,48,29.93,29.84,29.74,10,10,8,24,17,33,0.00,5,,177
2015-4-13,69,62,54,64,56,43,96,85,66,30.19,30.01,29.83,10,8,1,29,15,37,1.20,8,Rain-Thunderstorm,30
2015-4-14,57,53,51,49,46,40,88,73,59,30.18,30.11,30.02,10,9,2,20,12,26,0.00,8,Rain,40
2015-4-15,71,61,51,54,51,48,89,72,53,30.01,29.95,29.85,10,9,5,16,6,21,0.00,4,,165
2015-4-16,78,67,57,63,57,53,87,75,57,30.00,29.94,29.86,10,10,8,21,10,28,0.00,2,,142
2015-4-17,73,64,57,63,57,52,93,77,53,30.10,29.97,29.90,10,9,2,20,9,28,0.22,5,Rain-Thunderstorm,52
2015-4-18,77,65,55,60,56,46,93,69,48,29.92,29.83,29.71,10,10,10,18,8,25,0.00,3,Thunderstorm,162
2015-4-19,70,58,46,51,47,39,83,67,40,29.94,29.78,29.70,10,10,10,31,11,44,0.00,3,,348
2015-4-20,64,53,42,39,35,30,85,51,28,30.05,29.98,29.94,10,10,10,12,7,21,0.00,0,,322
2015-4-21,73,62,51,51,46,37,75,55,42,29.98,29.91,29.82,10,10,10,21,10,25,0.00,2,,193
